InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped,Instruction_MainExp.started,Instruction_MainExp.stopped,TakeABreak.started,TakeABreak.stopped,key_respBreak.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,configurationNumber,CCCondition,key_respBreak.rt,key_respBreak.duration
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,1,0,left,a,,,,,332.1259,332.864,34.1416225,6.590881348,-2.636352539,1,0,0,0.738,fixationPoint,332.864,332.9679,332.968,335.915,34.1416225,9754.749285,587.7236444,a,1,2.9291,,335.9151,336.1139,,,,,,,,18,113,168,-73,160,-116,66,-124,163,-120,-32,-114,-214,-32,-121,24,-166,169,-117,211,-128,164,29,17,212,270,360,270,270,180,360,90,270,270,180,90,,,,,,,,,,,336.1144,336.116,,0,0,0,0,1,1,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,2,180,right,s,,,,,336.1163,336.7679,34.1416225,1.136352539,11.00003052,1,0,0,0.6516,fixationPoint,336.768,336.8713,336.8713,338.9638,34.1416225,9754.749285,587.7236444,s,1,2.0746,,338.9638,339.1639,,,,,,,,83,-123,-161,220,121,79,165,164,29,-124,118,-160,124,-171,68,69,-213,214,-28,128,-25,-161,-171,-64,-164,360,360,90,90,270,360,90,180,360,270,180,,,,,,,,,,,339.164,339.1641,,0,1,1,1,1,9,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,3,180,right,s,,,,,339.1644,339.4473,34.1416225,1.136352539,1.000030518,1,0,0,0.2828,fixationPoint,339.4473,339.5481,339.5482,340.7473,34.1416225,9754.749285,587.7236444,s,1,1.1786,,340.7474,340.9472,,,,,,,,33,-116,66,164,29,172,166,172,76,-123,-161,-163,-69,-21,-172,120,-120,162,-65,210,-74,-166,163,-75,222,270,360,180,180,90,360,180,180,360,270,270,,,,,,,,,,,340.9472,340.9473,,0,2,2,2,1,3,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,4,0,left,a,,,,,340.9476,341.2639,34.1416225,1.136352539,1.000030518,1,0,0,0.3162,fixationPoint,341.2639,341.3648,341.3648,345.3315,34.1416225,9754.749285,587.7236444,a,1,3.9502,,345.3315,345.5306,,,,,,,,69,162,-65,218,74,172,76,121,68,-160,124,-124,118,-209,25,-28,-70,-120,-32,-123,-161,114,-68,67,-164,180,180,270,270,90,90,90,180,90,360,360,,,,,,,,,,,345.5306,345.5307,,0,3,3,3,1,8,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,5,180,right,s,,,,,345.5311,345.8003,34.1416225,2.045410156,1.000030518,1,0,0,0.269,fixationPoint,345.8003,345.8984,345.8984,346.8473,34.1416225,9754.749285,587.7236444,s,1,0.9237,,346.8474,347.0473,,,,,,,,63,-124,-64,118,16,113,168,121,68,-160,124,-209,25,-32,76,64,-80,116,-167,174,-216,-224,-25,-79,-222,180,360,180,90,180,90,360,270,360,90,90,,,,,,,,,,,347.0473,347.0475,,0,4,4,4,1,10,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,6,0,left,a,,,,,347.0478,347.3472,34.1416225,2.045410156,1.000030518,1,0,0,0.2994,fixationPoint,347.3473,347.4482,347.4482,349.5805,34.1416225,9754.749285,587.7236444,a,1,2.109,,349.5806,349.7807,,,,,,,,38,121,68,-75,222,-28,32,-171,68,-215,-162,-215,-64,-216,-128,21,-72,24,-166,210,-74,79,165,172,166,90,90,180,360,270,90,270,270,270,360,360,,,,,,,,,,,349.7807,349.7809,,0,5,5,5,1,2,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,7,0,left,a,,,,,349.7811,350.0807,34.1416225,2.045410156,1.000030518,1,0,0,0.2996,fixationPoint,350.0809,350.1805,350.1805,353.7641,34.1416225,9754.749285,587.7236444,a,1,3.5566,,353.7642,353.9641,,,,,,,,30,220,121,-18,114,-169,16,-20,165,-123,-161,-114,-214,-215,-64,162,-65,210,-74,26,-209,172,76,172,166,90,270,270,270,90,180,90,360,360,180,360,,,,,,,,,,,353.9641,353.9642,,0,6,6,6,1,14,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,8,180,right,s,,,,,353.9646,354.2724,34.1416225,2.045410156,1.000030518,1,0,0,0.3078,fixationPoint,354.2724,354.364,354.3641,355.602,34.1416225,9754.749285,587.7236444,s,1,1.2111,,355.602,355.7972,,,,,,,,32,-171,68,27,67,79,165,220,121,-69,-24,-114,-214,-64,-164,162,-65,174,-216,21,-72,-170,218,-216,126,180,180,90,270,180,270,90,360,360,90,180,,,,,,,,,,,355.7973,355.7974,,0,7,7,7,1,16,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,9,180,right,s,,,,,355.7976,356.0721,34.1416225,2.045410156,1.000030518,1,0,0,0.2743,fixationPoint,356.0722,356.1639,356.164,359.3307,34.1416225,9754.749285,587.7236444,s,1,3.134,,359.3308,359.5308,,,,,,,,68,114,-68,22,114,118,16,127,120,-28,32,-170,218,-209,25,-215,-162,-123,-161,-163,-69,210,-74,171,-24,270,360,180,180,270,180,90,90,90,270,360,,,,,,,,,,,359.5308,359.5315,,0,8,8,8,1,11,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,10,0,left,a,,,,,359.5319,359.664,34.1416225,2.045410156,1.000030518,1,0,0,0.1321,fixationPoint,359.6641,359.7641,359.7641,361.5807,34.1416225,9754.749285,587.7236444,a,1,1.7871,,361.5807,361.7806,,,,,,,,49,164,29,-18,114,-166,163,-32,76,-32,-121,-64,-164,-70,-73,224,-223,26,-20,78,-16,114,208,220,121,180,90,270,90,270,360,90,270,180,270,270,,,,,,,,,,,361.7806,361.7808,,0,9,9,9,1,13,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,11,0,left,a,,,,,361.7811,361.9306,34.1416225,2.045410156,1.000030518,1,0,0,0.1494,fixationPoint,361.9307,362.0306,362.0306,363.414,34.1416225,9754.749285,587.7236444,a,1,1.3547,,363.414,363.6019,,,,,,,,42,-169,16,72,114,113,168,27,67,-215,-64,-216,-220,-215,-162,214,-28,114,-68,116,-167,-116,66,-124,118,270,270,180,360,360,90,270,360,360,180,180,,,,,,,,,,,363.6019,363.602,,0,10,10,10,1,4,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,12,180,right,s,,,,,363.6024,363.8639,34.1416225,2.045410156,1.000030518,1,0,0,0.2615,fixationPoint,363.864,363.9677,363.9677,364.9972,34.1416225,9754.749285,587.7236444,s,1,1.0071,,364.9972,365.2018,,,,,,,,71,-216,-128,164,29,22,28,16,173,-73,160,-169,16,-160,124,214,-28,174,-216,219,-168,-161,-171,-69,-24,270,180,180,360,90,180,90,270,270,270,270,,,,,,,,,,,365.2018,365.202,,0,11,11,11,1,6,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,13,0,left,a,,,,,365.2022,365.4023,34.1416225,2.045410156,1.000030518,1,0,0,0.1999,fixationPoint,365.4023,365.502,365.5021,366.2719,34.1416225,9754.749285,587.7236444,a,1,0.7537,,366.2719,366.464,,,,,,,,52,-163,-20,27,67,215,164,164,29,-160,124,-212,70,-171,68,169,-117,80,-115,116,-167,-163,-69,-216,-128,180,270,90,360,180,270,360,360,90,270,360,,,,,,,,,,,366.464,366.4641,,0,12,12,12,1,5,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,14,180,right,s,,,,,366.4644,366.7306,34.1416225,2.045410156,1.000030518,1,0,0,0.2661,fixationPoint,366.7306,366.8307,366.8308,367.5984,34.1416225,9754.749285,587.7236444,s,1,0.7468,,367.5984,367.7973,,,,,,,,78,120,-120,72,114,79,165,172,76,-68,21,-212,70,-116,214,-69,-24,-168,-124,-163,-69,174,-216,69,-213,270,360,270,360,180,360,180,180,360,360,270,,,,,,,,,,,367.7978,367.7979,,0,13,13,13,1,7,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,15,180,right,s,,,,,367.7984,368.1308,34.1416225,2.045410156,1.000030518,1,0,0,0.3322,fixationPoint,368.1308,368.2306,368.2306,370.8141,34.1416225,9754.749285,587.7236444,s,1,2.5522,,370.8141,371.014,,,,,,,,23,-124,118,22,28,17,212,118,16,-163,-20,-163,-69,-29,-210,69,-213,26,-209,67,-164,-80,79,-32,76,180,270,180,90,90,360,90,90,270,270,90,,,,,,,,,,,371.0141,371.0142,,0,14,14,14,1,15,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,1,16,0,left,a,,,,,371.0144,371.1639,34.1416225,2.045410156,1.000030518,1,0,0,0.1494,fixationPoint,371.1639,371.2639,371.2639,372.9012,34.1416225,9754.749285,587.7236444,a,1,1.6162,,372.9014,373.1131,,,,,,,,59,171,-24,121,68,216,16,172,76,-18,114,-169,16,-73,160,-69,-24,-175,-223,-161,-171,210,-74,116,-167,360,270,360,180,270,180,90,90,180,180,360,,,,,,,,,,,373.1131,377.5683,space,0,15,15,15,1,12,novel,4.4427,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,1,0,left,a,,,,,377.574,378.1475,34.1416225,2.954528809,-2.636352539,1,0,0,0.5734,fixationPoint,378.1475,378.2474,378.2474,381.8308,34.1416225,9754.749285,587.7236444,a,1,3.55,,381.8308,382.0308,,,,,,,,83,-123,-161,72,114,22,114,22,28,-116,66,-171,68,-68,21,219,-168,224,-223,171,-24,-163,-69,-23,-24,180,270,270,270,270,270,360,270,90,180,360,,,,,,,,,,,382.0309,382.032,,0,16,16,16,1,9,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,2,0,left,a,,,,,382.0322,382.3974,34.1416225,2.954528809,-2.636352539,1,0,0,0.3651,fixationPoint,382.3974,382.4975,382.4975,383.4684,34.1416225,9754.749285,587.7236444,a,1,0.9496,,383.4685,383.664,,,,,,,,42,-169,16,72,114,113,168,27,67,-215,-64,-216,-220,-215,-162,214,-28,114,-68,116,-167,-116,66,-124,118,270,360,360,90,180,270,360,90,180,360,90,,,,,,,,,,,383.664,383.6641,,0,17,17,17,1,4,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,3,0,left,a,,,,,383.6643,383.8974,34.1416225,2.954528809,-2.636352539,1,0,0,0.233,fixationPoint,383.8974,383.9866,383.9866,386.6142,34.1416225,9754.749285,587.7236444,a,1,2.5987,,386.6142,386.8141,,,,,,,,71,-216,-128,164,29,22,28,16,173,-73,160,-169,16,-160,124,214,-28,174,-216,219,-168,-161,-171,-69,-24,270,360,90,360,180,90,360,360,180,360,180,,,,,,,,,,,386.8141,386.8143,,0,18,18,18,1,6,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,4,0,left,a,,,,,386.8146,387.014,34.1416225,2.954528809,-2.636352539,1,0,0,0.1994,fixationPoint,387.014,387.1141,387.1141,388.6639,34.1416225,9754.749285,587.7236444,a,1,1.5306,,388.664,388.864,,,,,,,,23,-124,118,68,212,216,16,215,164,-121,-128,-70,-73,-163,-69,78,-16,26,-20,210,-74,-216,217,-28,32,180,90,270,360,270,360,180,90,270,360,360,,,,,,,,,,,388.8641,388.8642,,0,19,19,19,1,15,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,5,180,right,s,,,,,388.8644,389.1316,34.1416225,2.954528809,-2.636352539,1,0,0,0.2672,fixationPoint,389.1316,389.2306,389.2307,393.8974,34.1416225,9754.749285,587.7236444,s,1,4.6396,,393.8974,394.0973,,,,,,,,63,-124,-64,210,221,65,80,218,74,-80,79,-212,70,-216,126,163,-175,26,-20,64,-80,-28,-70,-64,-164,360,180,360,360,360,180,90,90,270,180,270,,,,,,,,,,,394.0973,394.0975,,0,20,20,20,1,10,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,6,0,left,a,,,,,394.0977,394.5021,34.1416225,2.954528809,-2.636352539,1,0,0,0.4043,fixationPoint,394.5021,394.5973,394.5973,397.4517,34.1416225,9754.749285,587.7236444,a,1,2.8327,,397.4518,397.6473,,,,,,,,68,114,-68,113,168,218,74,167,215,-116,66,-65,115,-124,118,-114,-214,-29,-210,-124,-64,171,-24,125,-215,270,360,90,360,90,90,180,270,180,270,360,,,,,,,,,,,397.6474,397.6475,,0,21,21,21,1,11,novel,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,7,180,right,s,,,,,397.6477,398.014,34.1416225,2.954528809,-2.636352539,1,0,0,0.3663,fixationPoint,398.014,398.1141,398.1142,415.4142,34.1416225,9754.749285,587.7236444,s,1,17.2681,,415.4142,415.6141,,,,,,,,78,120,-120,72,114,79,165,172,76,-68,21,-212,70,-116,214,-69,-24,-168,-124,-163,-69,174,-216,69,-213,180,360,90,90,90,360,270,360,360,360,90,,,,,,,,,,,415.6142,415.6143,,0,22,22,22,1,7,repeated,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,,,,,,,,,,,,,,training,2,8,0,left,a,,,,,415.6146,416.9153,34.1416225,-6.136474609,0.090911865,1,0,0,1.3006,fixationPoint,416.9153,417.0149,417.015,428.3643,34.1416225,9754.749285,587.7236444,a,1,11.3287,,428.3643,428.5652,,,,,,,,38,121,68,-75,222,-28,32,-171,68,-215,-162,-215,-64,-216,-128,21,-72,24,-166,210,-74,79,165,172,166,360,90,90,360,180,180,270,360,360,270,360,,,,,,,,,,,428.5653,428.5654,,0,23,23,23,1,2,repeated,,
